"userID","difficulty","orden","time","clicks","level","restarts","arrows_deleted"
"24052025122041","Lineal","1","12:21:44","21","1","1","2"
"24052025122041","Lineal","1","12:22:02","27","1","1","2"
"24052025122041","Lineal","1","12:22:27","39","2","1","2"
"24052025122041","Lineal","1","12:22:55","60","3","1","2"
"24052025122041","Lineal","1","12:23:24","69","4","2","2"
"24052025122041","Lineal","1","12:23:49","82","5","2","3"
"24052025122041","Lineal","1","12:25:01","114","6","2","5"
"24052025175320","Exponencial","2","18:01:15","34","1","5","1"
"24052025175320","Exponencial","2","18:01:38","39","1","5","1"
"24052025175320","Exponencial","2","18:03:45","84","3","14","8"
"25052025120744","Exponencial","3","12:16:54","19","1","2","0"
"25052025120744","Exponencial","3","12:17:13","24","1","2","0"
"25052025120744","Exponencial","3","12:17:57","44","3","3","0"
"25052025120744","Exponencial","3","12:18:59","67","5","4","1"
"25052025120744","Exponencial","3","12:25:47","153","6","8","17"
"25052025132617","Exponencial","3","13:38:30","9","1","2","0"
"25052025132617","Exponencial","3","13:39:17","23","1","3","2"
"25052025132617","Exponencial","3","13:40:16","45","1","4","8"
"25052025132617","Exponencial","3","13:40:39","52","1","4","8"
"25052025213433","Lineal","1","21:36:18","37","1","6","4"
"25052025213433","Lineal","1","21:36:25","38","1","6","4"
"25052025213433","Lineal","1","21:36:47","46","2","7","4"
"25052025213433","Lineal","1","21:37:05","60","3","7","4"
"25052025213433","Lineal","1","21:37:31","66","4","8","4"
"25052025213433","Lineal","1","21:38:15","80","5","8","4"
"25052025232355","Exponencial","1","23:24:49","14","1","1","0"
"25052025232355","Exponencial","1","23:25:05","20","1","1","0"
"25052025232355","Exponencial","1","23:25:36","38","3","2","0"
"25052025232355","Exponencial","1","23:26:25","61","5","4","1"
"26052025151631","Lineal","2","15:22:51","32","1","2","1"
"26052025151631","Lineal","2","15:23:18","36","1","2","1"
"26052025151631","Lineal","2","15:23:38","44","2","2","1"
"26052025151631","Lineal","2","15:24:09","63","3","3","1"
"26052025151631","Lineal","2","15:24:30","70","4","3","2"
"27052025142840","Lineal","1","14:32:33","29","1","1","1"
"27052025142840","Lineal","1","14:32:52","34","1","1","1"
"27052025142840","Lineal","1","14:33:26","43","2","1","1"
"27052025142840","Lineal","1","14:34:34","69","3","4","2"
"27052025142840","Lineal","1","14:35:05","91","3","4","7"
"30052025181056","Lineal","1","18:12:54","26","1","2","0"
"30052025181056","Lineal","1","18:13:20","37","1","3","1"
"30052025181056","Lineal","1","18:13:28","41","1","3","1"
"30052025181056","Lineal","1","18:14:10","63","2","5","2"
"30052025181056","Lineal","1","18:14:39","74","2","5","2"
"30052025181056","Lineal","1","18:16:01","113","3","6","5"
